"Source:","D:\OneDrive\OneDrive - Technical University of Cluj-Napoca\Toate\Anul2\PrimulSemestru\MA\ProiectMA\PIDController\PIDController.kicad_sch"
"Date:","16/10/2022 14:33:03"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","24"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","4.7u","Device:C","Capacitor_THT:C_Rect_L4.6mm_W3.8mm_P2.50mm_MKS02_FKP02","~"
"","","C2","4.7u","Device:C","Capacitor_THT:C_Rect_L4.6mm_W3.8mm_P2.50mm_MKS02_FKP02","~"
"","","J1","Jack-DC","Connector:Jack-DC","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal","~"
"","","J2","Jack-DC","Connector:Jack-DC","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal","~"
"","","J3","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock_RND:TerminalBlock_RND_205-00001_1x02_P5.00mm_Horizontal","~"
"","","Q1","BD433","Transistor_BJT:BD433","Package_TO_SOT_THT:TO-126-3_Vertical","http://www.cdil.com/datasheets/bd433_42.pdf"
"","","Q2","BD434","Transistor_BJT:BD434","Package_TO_SOT_THT:TO-126-3_Vertical","http://www.cdil.com/datasheets/bd433_42.pdf"
"","","R1","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","~"
"","","R2","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","~"
"","","R3","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","~"
"","","R4","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","~"
"","","R5","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","~"
"","","R6","47k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","~"
"","","R7","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","~"
"","","R8","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","~"
"","","R9","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","~"
"","","R10","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","~"
"","","RV1","100k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Piher_PC-16_Single_Horizontal","~"
"","","RV2","100k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Piher_PC-16_Single_Horizontal","~"
"","","RV3","100k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Piher_PC-16_Single_Horizontal","~"
"","","RV4","100k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Piher_PC-16_Single_Horizontal","~"
"","","RV5","470k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Piher_PC-16_Single_Horizontal","~"
"","","U1","LM324","Amplifier_Operational:LM324","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/lm2902-n.pdf"
"","","U2","LM324","Amplifier_Operational:LM324","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/lm2902-n.pdf"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","2","C1, C2","4.7u","Device:C","Capacitor_THT:C_Rect_L4.6mm_W3.8mm_P2.50mm_MKS02_FKP02","~"
"2","2","J1, J2","Jack-DC","Connector:Jack-DC","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal","~"
"3","1","J3","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock_RND:TerminalBlock_RND_205-00001_1x02_P5.00mm_Horizontal","~"
"4","1","Q1","BD433","Transistor_BJT:BD433","Package_TO_SOT_THT:TO-126-3_Vertical","http://www.cdil.com/datasheets/bd433_42.pdf"
"5","1","Q2","BD434","Transistor_BJT:BD434","Package_TO_SOT_THT:TO-126-3_Vertical","http://www.cdil.com/datasheets/bd433_42.pdf"
"6","8","R1, R2, R3, R4, R7, R8, R9, R10","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","~"
"7","1","R5","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","~"
"8","1","R6","47k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","~"
"9","4","RV1, RV2, RV3, RV4","100k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Piher_PC-16_Single_Horizontal","~"
"10","1","RV5","470k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Piher_PC-16_Single_Horizontal","~"
"11","2","U1, U2","LM324","Amplifier_Operational:LM324","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/lm2902-n.pdf"
